symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2025-12-12,682.0,PUT,2025-12-12T09:30:00.000,0.24,0.25,0.14,0.15,2539,294,0.18
SPY,2025-12-12,682.0,PUT,2025-12-12T09:35:00.000,0.16,0.17,0.12,0.13,525,105,0.17
SPY,2025-12-12,682.0,PUT,2025-12-12T09:40:00.000,0.12,0.19,0.12,0.16,4372,237,0.16
SPY,2025-12-12,682.0,PUT,2025-12-12T09:45:00.000,0.17,0.22,0.15,0.22,1298,211,0.16
SPY,2025-12-12,682.0,PUT,2025-12-12T09:50:00.000,0.22,0.25,0.16,0.17,1914,255,0.17
SPY,2025-12-12,682.0,PUT,2025-12-12T09:55:00.000,0.17,0.2,0.16,0.2,389,100,0.17
SPY,2025-12-12,682.0,PUT,2025-12-12T10:00:00.000,0.2,0.26,0.19,0.25,2155,519,0.18
SPY,2025-12-12,682.0,PUT,2025-12-12T10:05:00.000,0.24,0.44,0.22,0.38,6391,825,0.22
SPY,2025-12-12,682.0,PUT,2025-12-12T10:10:00.000,0.37,0.38,0.26,0.34,2729,406,0.23
SPY,2025-12-12,682.0,PUT,2025-12-12T10:15:00.000,0.34,0.46,0.32,0.35,3122,579,0.25
SPY,2025-12-12,682.0,PUT,2025-12-12T10:20:00.000,0.36,0.58,0.32,0.57,3337,673,0.27
SPY,2025-12-12,682.0,PUT,2025-12-12T10:25:00.000,0.57,1.04,0.56,1.0,9415,1743,0.39
SPY,2025-12-12,682.0,PUT,2025-12-12T10:30:00.000,1.0,1.2,0.68,0.83,8817,1549,0.5
SPY,2025-12-12,682.0,PUT,2025-12-12T10:35:00.000,0.82,0.94,0.52,0.58,6055,742,0.52
SPY,2025-12-12,682.0,PUT,2025-12-12T10:40:00.000,0.57,0.75,0.49,0.49,4689,547,0.53
SPY,2025-12-12,682.0,PUT,2025-12-12T10:45:00.000,0.49,0.54,0.38,0.45,5531,453,0.52
SPY,2025-12-12,682.0,PUT,2025-12-12T10:50:00.000,0.44,0.8,0.41,0.79,6493,848,0.53
SPY,2025-12-12,682.0,PUT,2025-12-12T10:55:00.000,0.8,2.3,0.79,2.04,13664,2274,0.67
SPY,2025-12-12,682.0,PUT,2025-12-12T11:00:00.000,2.07,2.9,1.65,2.87,8891,1440,0.81
SPY,2025-12-12,682.0,PUT,2025-12-12T11:05:00.000,2.95,3.02,2.12,2.64,4610,754,0.89
SPY,2025-12-12,682.0,PUT,2025-12-12T11:10:00.000,2.66,3.15,2.32,2.47,3097,464,0.95
SPY,2025-12-12,682.0,PUT,2025-12-12T11:15:00.000,2.52,2.78,2.06,2.59,2463,392,0.98
SPY,2025-12-12,682.0,PUT,2025-12-12T11:20:00.000,2.52,3.35,2.44,2.9,1674,361,1.01
SPY,2025-12-12,682.0,PUT,2025-12-12T11:25:00.000,2.81,3.01,2.15,2.16,1598,233,1.04
SPY,2025-12-12,682.0,PUT,2025-12-12T11:30:00.000,2.22,3.05,2.22,2.8,1372,197,1.05
SPY,2025-12-12,682.0,PUT,2025-12-12T11:35:00.000,2.73,3.62,2.67,3.28,897,205,1.07
SPY,2025-12-12,682.0,PUT,2025-12-12T11:40:00.000,3.36,3.57,2.5,2.51,799,123,1.09
SPY,2025-12-12,682.0,PUT,2025-12-12T11:45:00.000,2.48,3.0,2.43,2.66,1010,124,1.1
SPY,2025-12-12,682.0,PUT,2025-12-12T11:50:00.000,2.73,3.07,2.73,2.86,663,113,1.11
SPY,2025-12-12,682.0,PUT,2025-12-12T11:55:00.000,2.86,3.1,2.42,2.42,723,78,1.12
SPY,2025-12-12,682.0,PUT,2025-12-12T12:00:00.000,2.53,2.57,1.84,1.99,1621,259,1.13
SPY,2025-12-12,682.0,PUT,2025-12-12T12:05:00.000,1.98,1.98,1.39,1.72,2323,378,1.15
