symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap
SPY,2026-04-02,656.0,CALL,2026-04-02T09:30:00.000,0.13,0.18,0.11,0.13,2284,302,0.13
SPY,2026-04-02,656.0,CALL,2026-04-02T09:35:00.000,0.12,0.14,0.1,0.12,1364,153,0.12
SPY,2026-04-02,656.0,CALL,2026-04-02T09:40:00.000,0.13,0.14,0.12,0.13,604,82,0.13
SPY,2026-04-02,656.0,CALL,2026-04-02T09:45:00.000,0.13,0.19,0.13,0.18,2153,153,0.14
SPY,2026-04-02,656.0,CALL,2026-04-02T09:50:00.000,0.16,0.32,0.16,0.28,1247,232,0.15
SPY,2026-04-02,656.0,CALL,2026-04-02T09:55:00.000,0.28,0.43,0.24,0.39,1634,373,0.18
SPY,2026-04-02,656.0,CALL,2026-04-02T10:00:00.000,0.4,0.42,0.23,0.24,2209,312,0.21
SPY,2026-04-02,656.0,CALL,2026-04-02T10:05:00.000,0.25,0.37,0.21,0.32,1787,324,0.22
SPY,2026-04-02,656.0,CALL,2026-04-02T10:10:00.000,0.31,0.39,0.28,0.3,1523,220,0.23
SPY,2026-04-02,656.0,CALL,2026-04-02T10:15:00.000,0.31,0.41,0.3,0.35,2187,314,0.25
SPY,2026-04-02,656.0,CALL,2026-04-02T10:20:00.000,0.36,0.46,0.36,0.39,2232,356,0.27
SPY,2026-04-02,656.0,CALL,2026-04-02T10:25:00.000,0.39,0.39,0.3,0.34,1040,210,0.27
SPY,2026-04-02,656.0,CALL,2026-04-02T10:30:00.000,0.34,0.85,0.32,0.68,5487,757,0.33
SPY,2026-04-02,656.0,CALL,2026-04-02T10:35:00.000,0.69,4.31,0.69,3.18,11562,1998,1.01
SPY,2026-04-02,656.0,CALL,2026-04-02T10:40:00.000,3.18,3.27,2.08,2.75,7066,1252,1.25
SPY,2026-04-02,656.0,CALL,2026-04-02T10:45:00.000,2.76,2.85,1.62,1.63,5562,977,1.36
SPY,2026-04-02,656.0,CALL,2026-04-02T10:50:00.000,1.64,1.85,1.35,1.7,5354,900,1.38
SPY,2026-04-02,656.0,CALL,2026-04-02T10:55:00.000,1.68,2.28,1.66,1.94,8894,1516,1.47
SPY,2026-04-02,656.0,CALL,2026-04-02T11:00:00.000,1.95,1.96,1.35,1.71,6935,936,1.48
